keyword,count,related phrase,related keyword,number of related bugs
usb,36,name usb partition rommon;work image usb stickcoronadoir rommon;rommon verify usb ir hv;kernel exception usb insertion removal;run weekend usb disconnection event,usb;sparrow;rommon;ttyusb;ir,12
without,35,retain privilege without authenticate set;;srp ciphersuite without require negotiation;form parameters without restrict ability;srp ciphersuite without require negotiation,license;psirt;device;cve;without,33
load,35,get channel load five secs;step reproduce load sfr boot;rerpo step load latest euphrates;name cve load port data;name cve load port data,port;cve;load;image;show,31
end,35,parity even end show line;line databit end show line;per line end cntl sparrow;information append end current show;per line end cntl sparrow,config;license;end;show;ir,25
display,35,tool also display step reproduce;bootup system display domain name;linknbrs cgos display wrong hear;license eula display end user;bss console display message global,display;vlan;version;interface;show,28
src,35,libfdt_internal loader src bz_private loader;error follow src error terminate;enough space src pc cz;ssa binverifying src ios image;marvel sparrow src mdepkg library,src;loader;apm;utils;dtc,7
ok,35,ip address ok method status;membuilding configuration ok ir ir;like get_crc ok get_crc fail;store mode ok please see;ip address ok method status,wpan;ok;pid;poe;ir,11
block,35,chunk add block gd memory;aa add block gd address;;leak chunksadding block gd memory;dind tind block block use,cgr;block;address;memory;ir,18
insert,35,type state insert time ago;sep mainboard_sfp insert transceiver module;stratix sfp insert port slot;troubleshoot module insert slot immediately;poweroff manually insert nd hokkaido,module;sfp;insert;ok;slot,17
copy,35,start config copy pc earlier;gb data copy additional mb;ie lm copy run config;spa error copy scp phone;flash moncfg copy flash copy,file;config;copy;ie;flash,19
utc,34,show clock utc tue jul;onsystem restart utc mon may;source ntp utc tue apr;show clock utc thu jan;outage aug utc yeti_iic_read fail,config;utc;clock;ie;show,19
dm,34,description ie dm development cisco;saturn ie dm msccdescription try;port use dm apply macro;connexa upgrade dm error message;system restaie dm test ie,vlan;dm;cisco;ie;default,19
directory,34,present var directory flash sync;sh file directory usr binos;cip dir directory flash default;errno file directory data conf;je file directory cisco ie,file;start;flash;directory;error,22
utils,34,closure loader utils dtc makefile;lxc start utils setproctitle invalid;setup process utils ecryptfs setup,src;loader;apm;utils;dtc,3
result,34,gps error result step log;;version error;root error result dut crash;config error result step command,warbler;modem;show;result;ir,28
full,34,readyeth link full duplex speed;fail show full iox host;plat hypversion full log enclosure;sample log full enclosure ir;see enclosure full detail rom,version;packets;show;ir;full,19
reboot,34,ir side reboot ixm expect;ir next reboot level ipbasek;auto even reboot clock progress;defect introduction reboot work msata;system time reboot date check,config;invalid;reboot;show;ir,22
setup,33,get corrupt setup detail skus;detect warn setup detail skus;casecade ha setup active standby;online cgr setup master slave;runningactivity ir setup access fog,version;sd;data;setup;card,22
two,33,advisory contain two vulnerabilities openssl;advisory contain two vulnerabilities openssl;foundation classify two high impact;redbox connect two different lan;restart every two second approximately,cve;lan;bug;two;ptp,25
exit,33,address dhcp exit ntp server;address dhcp exit username vik;ip address exit username vik;mode client exit;pvp process,config;psirt;ip;show;exit,24
must,33,two fix must place go;cgr acceptable must fix earliest;application cmds must remove ios;selections enable must control order;kindly consider must fix pi,cgr;must;iox;input;ir,26
generate,33,key get generate boot swap;ssh keygen generate new host;see alarm generate manually set;power switch generate level syslog;remove syslog generate indicate cable,switch;key;alarm;ssh;generate,21
poe,33,ir il poe descr poe;ir il poe descr poe;cgr ac poe power supply;chassis non poe pid ie;adv non poe skusmissingadd platform,lte;pid;descr;poe;ir,10
open,33,active fail open key file;empty try open cwan_modem log;believe bug open wrong cdets;lpwa tail open mnt container;latest version open source component,vlan;cve;open;log;root,26
group,32,prp channel group ptp stats;prp channel group ptp stats;prp channel group egress stats;pool dialer group;cisco cisco group cisco update,config;prp;lan;group;ptp,19
products,32,;;affect cisco;;execution vulnerability products use apache,cve;url;cisco;bug;please,29
relate,32,data packet relate lockd function;dname record relate db resolver;unsigned portion relate crypto asn;tls versions relate protocol downgrade;via vectors relate partition table,psirt;relate;cve;ciam;ir,31
igmp,32,event enable igmp snoop vlan;ie bz igmp snoop show;clock respond igmp queryiot ra;run permit igmp permit igmp;net ipv igmp linux kernel,snoop;event;vlan;mcsn;igmp,5
phone,32,step reproduce phone;;;;,device;sparrow;ie;show;phone,31
problem,32,look fix problem take async;fine state problem customer employees;enclosure detail problem description hardware;fix crash problem get attribute;customer setup problem summary unknown,use;customer;clone;fix;problem,24
sw,32,sim case sw fix detect;ssa bintb sw show ptp;failures due sw control gpio;use commandciscoasa sw module module;archive download sw firmware normal,power;sw;image;modem;show,19
sn,32,ak vid sn ftx name;ir vid sn fcw juname;ek vid sn fgl uname;con vid sn foc uwvname;cgr vid sn ftx name,vid;pid;sn;descr;ir,8
usr,32,errors exception usr sbin cal;last file usr lib python;last file usr lib python;testunexpected error usr sbin cal;lc_all path usr local sbin,file;usr;py;line;error,10
oib,32,kernal part oib ciam api;execution vulnerability oib ciam api;kernal part oib ciam api;kernal part oib ciam api;alphabetical orderpetra oib hellcat xe,petra;cve;mf;ciam;oib,31
msata,32,invalid msata pid ir;msata pi dev;msata support non;msata disk repartition;msata guest os,ea;pid;descr;msata;ir,10
complete,31,;hotpages please complete brief questionnaire;evaluate product complete step indicate;evaluate product complete step indicate;evaluate product complete step indicate,file;cve;vulnerabilities;bug;please,28
behavior,31,sd cardexpected behavior copy new;sim card behavior ir xx;whats expect behavior active cgr;shipment expect behavior cisco sd;imho ios behavior correct able,behavior;packets;sd;data;card,27
certain,31,properly handle certain large length;ssl application certain error;access restrictions certain time new;enable reset certain field incorrect;check whether certain memory location,certain;psirt;cve;link;ciam,30
vectors,31,via unspecified vectors;via unspecified vectors;bar via vectors involve authentication;via unspecified vectors;remote attack vectors,evaluation;psirt;cve;url;ciam,31
pass,31,native vlan pass time across;one flow pass block port;;block check pass dib presentdib;size fail pass ping start,switch;vlan;pass;sd;system,19
sdflash,31,;;image file sdflash;image file sdflash ie universalk;file flash sdflash copy seem,file;reload;sdflash;ie;universalk,16
bios,31,version cgossoftware bios version production;bios validation fail;console anymore bios validation fail;ir bios version wrongly;,bios;module;cgr;version;ir,14
descr,31,vz ak descr ir gw;name chassis descr ir base;ea ek descr ir lte;name chassis descr embed service;invname cgr descr cgr chassis,vid;pid;sn;descr;ir,6
vid,31,vz ak vid sn ftx;pid ir vid sn fcw;ea ek vid sn fgl;esr con vid sn foc;pid cgr vid sn ftx,vid;pid;sn;descr;ir,7
cpu,30,application crash cpu consumption possibly;denial service cpu consumption via;kernel posix cpu timers selection;denial service cpu consumption via;denial service cpu consumption send,psirt;cve;link;cpu;ir,22
indicate,30,complete step indicate url tool;;complete step indicate url tool;complete step indicate url evaluation;complete step indicate url tool,cve;url;vulnerabilities;bug;please,29
condition,30,service do condition target system;service do condition affect system;service do condition vulnerability due;service do condition vulnerability due;,psirt;cve;sd;condition;ciam,25
shut,30,log display shut shut pingsparrow;hang try shut unshut module;configuration peristent shut shut ir;gi full shut shut prp;troubleshoot try shut shut reload,shut;len;netmap_transmit;interface;full,14
environment,30,ir go environment include outdated;lpwa modem environment xx word;lpwa modem environment lrr_root tmp;show set environment variable unset;troubleshoot rf environment connectivity issue,cve;environment;show;lpwa;root,16
systems,30,copyright cisco systems inc compile;copyright cisco systems inc;vendor cisco systems inc host;url cisco systems inc compile;url cisco systems inc compile,version;software;host;cisco;show,25
enter,30,mpl data enter value;config mode enter help equivalent;create vnallamo enter password email;dag lifetime enter value production;ieee panid enter value user,may;config;enter;command;configuration,19
scep,30,barnes scep url error;lorawan mdmagent scep url url;stop middle scep process move;matia scep need poll;warbler change scep cli environment,clone;url;lpwa;scep;server,5
instance,30,case status instance attribute interface;xe featclass instance attribute interface;;;xe featcip instance attribute ptp,instance;cip;interface;attribute;may,14
event,30,mld snoop event debug defaultpetra;full consistent event control packets;deb consoleless event debug consoleless;define auditable event format audit;sync fault event slave active,event;mcsn;apr;packets;dbg,9
raw,30,sparrow raw udp encap;point protocol raw tcp raw;sparrow raw socket packet;sh inventory raw show debug;img create raw allow gb,config;sparrow;raw;udp;ir,6
missingthis,29,unzip vulnerability missingthis ciam notification;samba vulnerability missingthis ciam notification;postgresql vulnerability missingthis ciam notification;samba vulnerability missingthis ciam notification;samba vulnerability missingthis ciam notification,evaluation;cve;alert;ciam;missingthis,29
know,29,vulnerability ies know cve dirty;;vulnerability ies know openssl january;address vulnerabilities know openssl may;address vulnerability know strut jakarta,cve;url;vulnerabilities;bug;please,27
guide,29,;;url tool guide evaluation vulnerabilities;url tool guide evaluation vulnerabilities;url tool guide evaluation vulnerabilities,cve;url;vulnerabilities;bug;please,26
topology,29,version test topology ir ge;incomplete test topology ir warbler;password test topology ir warbler;ir test topology ir warbler;failmissing test topology ir ge,warbler;topology;test;modem;ir,23
session,29,client version session id os;client version session id os;update key session gtk_bitmap port;enableip ssh session ip ssh;plane status session readystatus recoverit,cgr;version;host;session;show,18
always,29,remove otherwise always fail users;stop start always gracefulpi hello;ir txfec always show enable;export iox always cause excessive;debug lowpan always show dag_size,cgr;iox;always;show;ir,22
require,29,denial service require assertion failure;slave mode require removal exist;;openssl products require server send;,module;cgr;psirt;cve;require,27
exist,29,;service vulnerability exist remote configuration;order unlike exist platforms see;;attribute show exist screenshot attach,file;exist;cve;show;ciam,23
platforms,29,hellcat polaris platforms nooibfix build;ir esr platforms currently multiple;cgr ir platforms backup file;follow two platforms break ie;psirt reviewedon platforms secure boot,platforms;fix;show;build;ir,26
unknown,29,unknown module type;;;;,cgr;unknown;output;clock;show,19
ca,29,acm kx ca cve api;;;;,cve;kx;ca;ciam;ir,17
register,29,url kernel register arbitrary code;list detailhost register iox server;private build register sensors fmc;make sure register successfully show;ver configuration register next reload,qjqy;version;cve;ciam;register,17
case,29,properly handle case cause config;change value case status instance;fastethernet configuration case fail configure;map certain case downgrade image;radio analyzer case escalate actility,issue;config;ie;case;configuration,25
domain,29,fe clock domain number ptp;fe clock domain number ptp;bd clock domain number ptp;config ip domain lookupip domain;config ptp domain set ptp,config;domain;clock;show;ptp,16
source,29,minutes time source ntp pdt;minutes time source ntp utc;yingress ping source address interface;mdmagent clock source set ntp;minutes time source hardware calendar,time;crypto_pki;show;source;ir,17
http,29,support url http format give;non secure http mode modify;properly handle http responses contain;modules apache http server script;modules apache http server script,http;url;certificate;ie;scep,15
ieee,29,mode cgr ieee phy mode;show wpan ieee detail hardware;;;rf wpan ieee rf mhz,cgr;wpan;show;detect;ieee,12
latest,29,image boot latest image confirm;;portsiot danube latest mr build;backup partition latest hypervisor boot;boot however latest rommon fix,config;version;image;ie;latest,26
ring,29,config mrp ring go back;block mode ring topology avoid;config mrp ring topo ie;type mrp ring vlan_id ready;configure dlr ring mode supervisor,switch;ring;mode;vlan;mrp,11
updown,29,sep link updown interface gigabitethernet;sep lineproto updown line protocol;stacksep lineproto updown line protocol;pdt link updown interface cellular;reloadjul link updown interface gigabitethernet,state;change;updown;sep;interface,13
format,29,url http format give part;consortium icc format library aka;bypass fortify_source format string protection;support point format extension data;key secsh format ssh rsa,url;format;command;scep;server,18
rw,29,jun fsck rw root root;default config rw startup config;gemboa kernel rw zuti mf,file;root;log;rw;jun,3
thunderbird,28,url firefox thunderbird seamonkey properly;mozilla firefox thunderbird seamonkey allow;firefox esr thunderbird thunderbird esr;mozilla firefox thunderbird seamonkey allow;mozilla firefox thunderbird versions seamonkey,thunderbird;psirt;firefox;cve;ciam,17
daemon,28,time protocol daemon weak pseudorandom;failure name daemon exit via;dereference ike daemon restart via;assertion failure daemon exit via;time protocol daemon ntpd could,psirt;cve;log;ciam;root,26
contain,28,security advisory contain two vulnerabilities;postscript file contain unlimited recursive;log entry contain user appleid;security advisory contain two vulnerabilities;information expat contain vulnerability could,file;psirt;cve;url;contain,24
media,28,edge digital media player address;;cisco digital media players dmp;edge digital media player address;cisco digital media players dmp,cve;url;bug;media;please,17
identify,28,dirty cow identify cve cve;;openssl january identify cve cve;openssl may identify cve cve;code execution identify cve cve,cve;url;vulnerabilities;bug;please,26
additional,28,bug appropriately additional information obtain;bug appropriately additional information obtain;bug appropriately additional information obtain;low impact additional information find;bug appropriately additional information obtain,file;cve;vulnerabilities;bug;please,23
still,28,configure connections still list topo;reboot ixm still ixm retain;interface wpan still expect downshow;show command still show fan;try configure still show show,cgr;config;still;show;ir,24
sensitive,28,attackers obtain sensitive information decrypt;obtain potentially sensitive information;sessions obtain sensitive information via;obtain potentially sensitive information kernel;obtain potentially sensitive information kernel,information;psirt;cve;allow;ciam,24
euphrates,28,ie onlyiot euphrates featurei use;keep restartingiot euphrates featurewhen dut;stay gnssiot euphrates featurewhen lose;euphrates fpga version;protocol engineion euphrates feature ra,euphrates;gnss;prp;lan;ptp,19
program,28,;nburrarom bootstrap program ie boot;nburrarom bootstrap program ie boot;;,program;version;ip;ie;show,18
vds,28,get stuckroot vds var log;ir include vds environment contain;ir vds communication error;dev sdb vds fsck work;hv daniel vds network issue,root;log;vds;jun;ir,14
target,28,do condition target system vulnerability;spoof attack target system vulnerability;malicious request target system successful;sensitive information target system;arbitrary code target system vulnerability,psirt;cve;vulnerability;attacker;could,20
forwarder,28,show packet forwarder info show;lpwa packet forwarder install pubkey;show packet forwarder info show;start packet forwarder virtual modematiar;actility packet forwarder use ixm,packet;forwarder;show;lpwa;radio,7
hello,28,persistent rebootmackinac hello must fix;hokkaido pi hello multiple symptoms;traffic recovery hello ixia rtr;always gracefulpi hello thank sherry;go pi hello daniel thank,module;hello;thank;interface;input,24
list,28,see attachment list ciam alert;see attachment list ciam alert;see attachment list ciam alert;iox host list detail fail;remote attackers list arbitrary directories,cve;host;mf;show;ciam,20
secure,28,igma apache secure https mode;orcas secure tunnel cli;reviewedon platforms secure boot show;log tail secure log phone;ir secure boot bypass,pppoetester;config;secure;clone;boot,12
oct,28,support cwan_eth oct ipv duplicate;sla tcl oct vlan datbootstrap;ccb yesin oct th throttle;compile tue oct nburrarom bootstrap;pst tue oct system image,version;software;oct;image;ir,12
action,27,link take action race condition;link take action vulnerability description;link take action thursday january;link take action may rd;link take action march th,cve;url;vulnerabilities;bug;please,25
cdets,27,manner overcome cdets limitations file;;manner overcome cdets limitations file;;,cve;url;vulnerabilities;bug;please,23
field,27,read check field match warn;anomalies authorization field utilize ntlm;show platform field slot unknown;contain extension field;information userinfo field url conjunction,psirt;field;ok;sd;card,19
stack,27,;memory corruption stack interpreter;information kernel stack memory;link url stack base buffer;denial service,psirt;cve;link;stack;ciam,20
report,27,defect first report wayne stoke;lockheed martin report consistently encounter;act quadbox report mac flap;danubecustomer netdesign report ie switch;employees condition report red leds,switch;port;sfp;report;ie,24
return,27,uptime minutessystem return rom power;hours minutessystem return rom power;platform integrity return datasparrow nooib;local laws return product immediately;integrity data return error retrieve,number;sparrow;return;ie;show,22
exploit,27,attacker could exploit vulnerability submit;attacker could exploit vulnerability send;attacker could exploit vulnerability send;attacker could exploit vulnerability load;attacker could exploit vulnerability submit,psirt;cve;vulnerability;attacker;could,15
python,27,evaluation dmm python ciam notification;multiple vulnerabilities python ciam api;python json module;usr lib;warbler python smtplib starttls,file;cve;line;python;ciam,12
validation,27,anymore bios validation fail main;module bios validation interrupt module;module bios validation interrupt module;hokkaido bios validation issue somehow;bios validation fail sign,module;cgr;validation;server;restart,14
libxml,27,evaluation ce libxml vulnerabilities ciam;evaluation ce libxml vulnerabilities ciam;evaluation gemboa libxml cb zuti;evaluation ce libxml vulnerabilities ciam;evaluation ce libxml psirt tps,evaluation;libxml;psirt;cve;ciam,16
provide,27,;detail candidate provide;detail candidate provide;;,cgr;candidate;cisco;image;provide,24
uut,27,cli command uut dyip config;time topology uut bssrouter modem;pagint uutint uut uutint refint;reproduce reload uut configure ip;interface vlan uut config ip,config;sparrow;uut;input;line,10
connexa,27,connexa iox code;connexa host ip;connexa duplicate ip;connexa upgrade dm;connexa upgrade dm,loader;connexa;utils;dtc;ie,15
trace,27,log correspond trace callback engineer;ddts use trace total power;shell enabledshell trace offno output;hstack observe trace back load;hours stack trace show snmpd,license;debug;trace;show;line,12
current,27,runbuilding configuration current configuration bytes;status display current constellation configurediot;ptp prp current port state;build configuration current configuration bytes;internal use current image run,may;version;current;show;configuration,22
th,27,action may th intel release;ntp consortium th april release;action february th vulnerability gnu;action november th openssl software;ntp consortium th january release,file;cve;vulnerabilities;bug;please,19
ixm,27,serialnumber pid ixm lpwa sn;email model ixm lpwa processor;corsica scp ixm outbound servers;page topology ixm ev kref;update reboot ixm exist scenario,url;ixm;show;scep;server,13
boundary,27,ptp default boundary clock power;rep port boundary mode default;way sync boundary clock scenariowithout;mode change boundary change ptp;power profile boundary clock directly,boundary;mode;device;clock;ptp,12
kx,27,ciam azq kx czai cve;ciam cb kx czai cve;disclosure dsc kx cxdd cve;ciam acm kx ca cve;ciam efz kx cxdd cve,psirt;czai;cve;kx;ciam,5
compile,27,systems inc compile wed mar;systems inc compile wed jun;systems inc compile sun dec;systems inc compile mar utc;systems inc compile fri apr,version;software;compile;ie;show,21
last,27,mz bin last reload reason;set sec last input output;;;second reset last input output,config;last;ie;show;line,20
snoop,27,response mld snoop event debug;bz igmp snoop show delete;look igmp snoop group see,snoop;event;vlan;mcsn;igmp,3
backup,26,guidelines verify backup restore procedures;glass feature backup restore log;power cycle backup gm become;fault primary backup sup become;fix iptables backup tunnel active,security;gm;active;data;backup,12
give,26,cip attribute give ip address;failure object give zero output;license udi give extra detail;disable command give warn info;license command give ie reload,config;license;give;show;attribute,24
different,26,sample come different variations attack;sample come different variations attack;support cli different router image;gs_init ps different vulnerability cve;use sudoedit different vulnerability cve,file;different;cve;data;flash,24
timer,26,receive trickle timer shift data;sun fix timer rpl dios;socket packet timer work properlysparrow;expire manage timer bc time;expire manage timer time eb,timer;data;packets;send;ir,12
ec,26,cd abc ec process_execute dc;lqir fe ec;ie pios ec ie universalk;acff fe ec ipv address;cz eb ec cz bf,ec;cz;version;fe;ie,19
commit,26,czai cve commit new ioxvm;clone cscvd commit new version;initial development commit;bug id commit dummy id;platform support commit,czai;cve;kx;commit;ciam,21
level,26,trace module level post loopback;;log id level time message;license boot level network advantage;switch generate level syslog message,switch;config;cve;level;input,17
table,26,ir cisp table fail learn;craft sample table movie file;link nei table link neighbor;ldm partition table;create new table command format,mac;node;address;link;table,16
mesh,26,version cg mesh udpbridge origin;hopinfo display mesh route hop;;removal exist mesh key rf;ipv join mesh pi iotin,cgr;node;wpan;mesh;rpl,13
inc,26,cisco systems inc compile sun;cisco systems inc host hardware;cisco systems inc compile wed;cisco systems inc compile wed;cisco systems inc host hardware,version;host;cisco;ie;show,22
erase,26,state write erase via command;config ir erase nvram config;service declassify erase service declassify;filesystem option erase command sparrow;md passwords erase downgrade log,config;sparrow;command;default;erase,11
multicast,26,cgrs forward multicast packets nodescoronado;mask broadcast multicast mtu metric;example ip multicast rout vrf;permit permit multicast work reloadtac;multicast block feature,multicast;data;packets;permit;receive,13
eds,26,eds modifications require;ie tcgn eds file parameters;ie tsg eds file port;ie tcgx eds file parameters;odva find eds file issueie,file;value;eds;ie;fa,9
rout,26,gigabit ethernet rout port gigabit;sparrow oib rout aut clone;le base rout platform sparrow;route issue rout add order;sparrow platformsparrow rout autthis placeholder,sparrow;rout;address;ip;enable,19
bxdcm,26,cve ciam bxdcm mf cve;ciam fg bxdcm mf cve;cve ciam bxdcm mf cve,cve;bxdcm;mf;fb;ciam,3
warn,25,additional info warn ir sidebarnes;flash detect warn see new;session disconnect warn never login;disk repartition warn run command;high cpu warn msg enable,config;console;sd;warn;show,9
ff,25,clock identity ff fe port;clock identity ff fe bd;identity ea ff fe clock;clock identity ff fe clock;type dbb ff dbb ca,cgr;version;clock;ptp;ff,16
signature,25,partition image signature verifiedbooting image;delegate ios signature verification vds;;cannot boot signature verification fail;fit image signature boot,signature;boot;image;show;ir,16
dependent,25,allow context dependent attackers cause;allow context dependent attackers cause;easier context dependent attackers decrypt;allow context dependent attackers execute;allow context dependent attackers execute,context;psirt;cve;ciam;dependent,25
regard,25,fail thank regard;thank best regard;reproducible thank regard;require thank regard;please thank regard,guest;thank;regard;os;ir,25
lora,25,ir warbler lora modem version;ge warbler lora modem version;ge warbler lora modem test;ir warbler lora modem version;ir warbler lora modem version,warbler;lora;modem;lpwa;ir,12
parameters,25,shell cmd parameters ir virtual;invalid request parameters expect result;set kernel parameters net ipv;security feature parameters adequately document;code connection parameters use attach,virtual;security;issue;parameters;modem,15
object,25,via cip object serivces;post failure object give zero;hex id object instance value;code ciscoie object identifier ciscoproducts;ct ethernet object object ethernet,switch;object;cip;poe;ciam,18
pool,25,aea alignment pool free cause;fail alignment pool processor free;fail alignment pool processor free;critical threshold pool processor free;fail alignment pool processor free,config;cause;pool;process;memory,10
requirement,25,date timecsdlcsdl requirement products know;control spacecsdlcsdl requirement persistent storage;date time requirement ntp cisco;control spacecsdlcsdl requirement must possible;open portscsdlcsdl requirement customers let,sec;cve;ct;requirement;csdl,22
yes,25,method status yes nvram ir;regression bug yes last build;want continue yes instal image;danube ccb yes ssr fixcustomer;blksize checksum yes port gbe,module;cgr;sfp;ie;yes,15
perform,25,family relate perform dual aaaa;remote attacker perform spoof attack;memory operations perform affect software;;memory operations perform affect software,module;cgr;psirt;cve;perform,20
dec,25,len ffffffc dec iosxe platform;feb cfg dec sla tcl;fc fa dec phone;compile sun dec nburrarom bootstrap;disconnection event dec buffer available,cwan_eth;netmap_transmit;clock;dec;full,13
save,25,configuration modify save yes nproceed;interface gigabitethernet save configration ir;remote agentplease save configuration reload;configuration deny save either expect;,config;vlan;reload;save;ir,17
package,25,appid test package bootflash sparrow_lxc;python site package mdmagent mdmagent;librtmp rtmpdump package vulnerabilities product;cgr technology package license information;rc update package report success,file;package;usr;upgrade;line,15
reason,25,;;last reload reason reload;;,file;version;reload;ie;reason,19
tunnel,25,orcas secure tunnel cli issuecorsica;cannot pass tunnel snowfinch oibnote;whenever ipsec tunnel comming upipsectesting;matia ipsec tunnel work dns;block serial tunnel bstun ppp,pppoetester;config;tunnel;ipsec;secure,9
bootloader,25,twig branch bootloader code part;saw behavior bootloader ios link;log step bootloader image rommon;xe featwith bootloader sdflash detect;separate reload bootloader fpga upgradesparrow,loader;bootloader;utils;sd;dtc,17
lorawan,25,exit root lorawan root lorawan;side root lorawan root lorawan;mo root lorawan log tail;modemcorsica root lorawan tmp cat,virtual;lorawan;show;lpwa;root,4
timeout,25,sha authentication timeout secs authentication;datagram size timeout second extend;version authentication timeout secs authentication;ios timeout command ir;image due timeout observe two,timeout;reload;ssh;ping;ir,15
udp,25,sparrow raw udp encap raw;tcp raw udp raw socket;higher sparrow udp yield approx;play multicast udp stream use;ntpudp ntp udp localhost localdoma,encap;config;sparrow;raw;udp,5
automate,24,evaluation vulnerabilities automate documentation bug;evaluation vulnerabilities automate documentation bug;evaluation vulnerabilities automate documentation bug;evaluation vulnerabilities automate documentation bug;evaluation vulnerabilities automate documentation bug,cve;url;vulnerabilities;bug;please,22
context,24,value allow context dependent attackers;libxml allow context dependent attackers;make easier context dependent attackers;versions allow context dependent attackers;might allow context dependent attackers,context;psirt;cve;ciam;dependent,24
privilege,24,users gain privilege via trojan;restrictions retain privilege without authenticate;users gain privilege via craft;service;,privilege;psirt;cve;url;ciam,22
null,24,denial service null pointer dereference;denial service null pointer dereference;denial service null pointer dereference;denial service null pointer dereference;denial service null pointer dereference,psirt;cve;null;cisco;ciam,21
sure,24,ir make sure power normally;flow make sure one flow;ir make sure register successfully;logout make sure;ge make sure power normally,port;sure;vlan;modem;ir,19
corruption,24,heap memory corruption application crash;service memory corruption application crash;trigger memory corruption stack interpreter;service memory corruption possibly unspecified;os memory corruption possibly unspecified,psirt;cve;link;ciam;corruption,23
ssl,24,dtls function ssl openssl za;link url ssl function openssl;free vulnerability ssl function openssl;allow remote ssl servers cause;url condition ssl function openssl,openssl;psirt;cve;ssl;ciam,19
username,24,upto config username vik password;ir warbler username password configuration;terminal config username root password;address exit;,config;username;password;vik;root,11
bz,24,bz terminate traffic;ie bz igmp snoop;bz dut send;ie bz memory leak;bz port lead,bz;vlan;ie;show;phase,20
write,24,set read write access restrict;system attempt write data beyond;set read write insert get;handle copy write cow breakage;drive cache write throughinit version,file;read;sd;write;card,20
none,24,alternate pool none free cause;cisco ie none macro need;default type none set whenever;hardware vendor none interface hardware;alternate pool none free cause,none;cisco;interface;default;memory,14
script,24,efts etc script use product;recreate issue script petrad show;error observe script oibseeing error;use tech_support script;http server script execute unspecified,file;guest;os;script;restart,18
apr,24,debug onhari_petra_ apr mcsn dbg;tps ntp apr cve cve;compile fri apr nburrarom bootstrap;utc tue apr channel list;lot tracebacks apr ethchnl assert,event;vlan;mcsn;apr;cve,8
xml,24,;;via long xml entity name;;,xml;libxml;cve;clone;ciam,18
ipsec,24,sparrow ipsec flexvpn traffic;zq config ipsec cert scep;appear whenever ipsec tunnel comming;mdmagent connect ipsec lorawan mdmagent;config crypto ipsec profile config,config;ipsec;tunnel;show;scep,13
radio,24,cellular modem radio turn sep;corsica show radio rf stop;ploptbbgc vbyigzh radio offip ssh;show fpga radio aes info;distance verify radio analyzer case,config;sep;show;radio;pdt,6
store,24,mlpds cve store buffer data;mlpds cve store buffer data;useful info store modemissingload info;update trust store cgr family;hopinfo empty store modecoronado coronado,cgr;change;cve;data;store,15
frame,24,errors crc frame overrun ignore;errors crc frame overrun ignore;drop overrun frame tx packets;drop overrun frame tx packets;drop overrun frame tx packets,frame;packets;output;interface;drop,20
ts,24,list topo ts rawudp sparrow;resetsnowfinch lte ts xe featrouter;descr ws ts pid ws;send stopo ts rawtcp client;debug logsparrow ts etherswitch sparrowstep,raw;sep;ip;ts;pdt,20
hellcat,24,profilepetra oib hellcat oib xe;hellcat petra hide;failure petra hellcat polaris platforms;orderpetra oib hellcat xe feat;comment detailssteps hellcat show clock,petra;clock;hellcat;show;ptp,14
clear,24,never last clear show interface;specific much clear barnes clone;statistics drop clear cmd return;never last clear show interface;raw udp clear show raw,config;output;clear;scep;drop,13
gnss,24,show gnss status display;change auto gnss gnssiot euphrates;downasr show gnss statusgnss status;show gnss sit show;ptp stay gnss internal oscillator,gps;gnss;constellation;show;status,6
caf,24,nd core caf run successfully;memory leak caf application monitor;caf become unstable;fail start caf remove whole;include libvird caf ioxman tdl,caf;iox;connexa;ip;eth,6
apply,23,exit cli apply surya able;update require apply new intel;happen configuration apply switch config;verify rule apply backup data;automation device apply port nat,switch;config;cve;data;apply,14
private,23,cow breakage private read memory;cow breakage private read memory;curve ec private key file;url encrypt private directory setup;sensitive information private ssh key,cgr;psirt;cve;private;cisco,16
cycle,23,modem power cycle modem reset;intermittently power cycle nooibthis customer;reload power cycle cpu whole;intend power cycle cover work;reload power cycle backup gm,cycle;power;sep;modem;pdt,13
incorrect,23,dcc session incorrect packet data;certain field incorrect situations allow;code leverage incorrect scope handle;crash trigger incorrect trust anchor;vectors relate incorrect notifications affect,psirt;cve;incorrect;cip;ciam,23
fb,23,libxml id fb kfkv cve;libcurl ctt fb nyq cve;php cf fb gppv cve;;,psirt;cve;mf;fb;ciam,16
lrr,23,barnes add lrr uuid show;lrr lrrid show;var log lrr trace log;key flash lrr pubkey lpwa;stop old lrr process agent,packet;virtual;lrr;forwarder;lpwa,6
mar,23,tps openssl mar cve cve;throw follow mar invalid msata;tps strut mar cve please;stay change mar myt sched;memory fragment mar sys mallocfail,mar;cve;pid;bug;ir,12
glibc,23,evaluation ce glibc vb ah;evalution ce glibc psirt tps;evaluation ce glibc ah nfo;evaluation ce glibc ud ah;evaluation ce glibc psirt tps,psirt;url;cve;glibc;ciam,10
tar,23,mwarbler ixm_mdm_i_k tar gz test;flash bundle tar gzir virtual;vnallamo corsica_i_k tar gz unexpected;ie universalk tar ea tarvolt_connexa;ie universalk tar eb tar,tar;lrr;firmware;modem;ir,9
