bf_bugid,bf_bugid,bf_headline,bf_attribute,bf_description,bf_symptoms,bf_conditions,bf_workarounds,bf_release_note,bf_duplicateofbug,message,text
CSCvi07303,CSCvi07303,CGR HA - improve CGR HA performance,coronado pi32m2 -nooib,"Steps to reproduce the issueshould be able to reproduce the problem by removing HA, reloading your routerletting the mesh formthen enabling HAand reloading the CGMhardware config is same on both active and standbyCGR1000_JAF1626BKRL#sh wpan 5/1 hardware config serial number:  2A-00-2B-00-05-51-36-32eui64:          02000CFFFE9FF0FFssid:           coronadopanid:          10000phy-modes:      149 band-id:           4transmit power: 25  (<-txpower_reg 0x15)channel:        254channel notch:  nonedwell:          window 12400 max-dwell 400fec:            n/abeacon async:   min-interval 10 max-interval 20 suppression-coefficient 1security mode:  1admin_status:   upCGR1000_JAF1626BKRL#sh interfaces wpan 5/1 Wpan5/1 is up, line protocol is up   Hardware is RF 900 MHZ, address is 03ff.fe9f.f0ff (bia 03ff.fe9f.f0ff)",Missing,Missing,Missing,Missing,nobug,"CGR HA - improve CGR HA performancecoronado pi32m2 -nooibSteps to reproduce the issueshould be able to reproduce the problem by removing HA, reloading your routerletting the mesh formthen enabling HAand reloading the CGMhardware config is same on both active and standbyCGR1000_JAF1626BKRL#sh wpan 5/1 hardware config serial number:  2A-00-2B-00-05-51-36-32eui64:          02000CFFFE9FF0FFssid:           coronadopanid:          10000phy-modes:      149 band-id:           4transmit power: 25  (<-txpower_reg 0x15)channel:        254channel notch:  nonedwell:          window 12400 max-dwell 400fec:            n/abeacon async:   min-interval 10 max-interval 20 suppression-coefficient 1security mode:  1admin_status:   upCGR1000_JAF1626BKRL#sh interfaces wpan 5/1 Wpan5/1 is up, line protocol is up   Hardware is RF 900 MHZ, address is 03ff.fe9f.f0ff (bia 03ff.fe9f.f0ff)MissingMissingMissingMissingnobug",cgr ha improve cgr ha pi nooibsteps reproduce issueshould able reproduce problem remove ha reload routerletting mesh formthen enable haand reload cgmhardware config active standbycgr bkrl sh wpan hardware config serial number eui cfffe ff ffssid coronadopanid phy modes band id transmit power
CSCvi24211,CSCvi24211,SD Flash Manufacturer UNSUPPORTED message seen during IOS boot up,Missing,Following message is seen during IOS boot up:SD Flash Manufacturer      : UNSUPPORTED (ID=89h)         Serial number     : 1002AAEE         Size              : 908MB,Missing,Missing,Missing,Missing,CSCvd61304,SD Flash Manufacturer UNSUPPORTED message seen during IOS boot upMissingFollowing message is seen during IOS boot up:SD Flash Manufacturer      : UNSUPPORTED (ID=89h)         Serial number     : 1002AAEE         Size              : 908MBMissingMissingMissingMissingCSCvd61304,sd flash manufacturer unsupported message see ios boot message see ios boot sd flash manufacturer unsupported id serial number aaee size
CSCvi24602,CSCvi24602,ZTD script needs to improve Subject field parsing for custom sudi certs from different CA issuers.,-NOOIB,"Different signing CA issuers may re-arrange the order of elements in the Subject field of a signed custom SUDI certificate.  The ZTD script needs to improve the Subject field parsing to allow it to handle custom sudi certificates that are signed by different CA issuers.Suggestion to DE:   use the output from ""show crypto pki certificate XXXX"" to parse the Subject field because it breaks different elements of the Subject field in separate lines, making the order of the Subject field elements to be irrelevant.",Missing,Missing,Missing,Missing,nobug,"ZTD script needs to improve Subject field parsing for custom sudi certs from different CA issuers.-NOOIBDifferent signing CA issuers may re-arrange the order of elements in the Subject field of a signed custom SUDI certificate.  The ZTD script needs to improve the Subject field parsing to allow it to handle custom sudi certificates that are signed by different CA issuers.Suggestion to DE:   use the output from ""show crypto pki certificate XXXX"" to parse the Subject field because it breaks different elements of the Subject field in separate lines, making the order of the Subject field elements to be irrelevant.MissingMissingMissingMissingnobug",ztd script need improve subject field parse custom sudi certs different ca issuers nooibdifferent sign ca issuers may arrange order elements subject field sign custom sudi certificate ztd script need improve subject field parse allow handle custom sudi certificate sign different ca issuers suggestion de use output show crypto pki certificate xxxx parse subject field break different elements subject field separate line make order subject field elements irrelevant
CSCvi34285,CSCvi34285,"Invalid mSATA PID: IR-SSD-MSATA-100G on mSATA device bootup, mSATA missing in 'sh inv'","pi32m2, msata, pi32m2-mf","Hello,Seems new defect introduction. WHen we reboot working mSATA, it throws following :*Mar  7 18:18:01.017: Invalid mSATA PID: IR-SSD-MSATA-100GAlso, no longer do i notice mSATA PID in 'sh inv'.Device access: telnet 172.27.168.164 4004 [cisco/cisco/cisco or iox/iox/cisco]Thanks & RegardsShruthiOnce VDS is up, mSATA very much seen from VDS, only sh inv broken:IR800#sh inv        NAME: ""IR829M-2LTE-EA-EK9"", DESCR: ""IR829M-2LTE-EA-EK9 chassis""PID: IR829M-2LTE-EA-EK9, VID: V01 , SN: FGL2146906UNAME: ""IR800-IL-POE"", DESCR: ""POE module""PID: IR800-IL-POE      , VID: V01 , SN: FOC21452WCYNAME: ""Modem in slot 0 on Cellular1/0"", DESCR: ""Sierra Wireless MC7455 4G-EA""PID: MC7455            , VID: 1.0, SN: 352009080067106NAME: ""Modem in slot 1 on Cellular0/0"", DESCR: ""Sierra Wireless MC7455 4G-EA""PID: MC7455            , VID: 1.0, SN: 352009080066967IR800#IR800#IR800#IR800#IR800#sh plat msataSSD Lifetime:  Lifetime Remaining: 99%Memory:  Size: 99G  Used: 197M  Available: 99G  Usage: 1%IR800#IR800#IR800#sh inv       NAME: ""IR829M-2LTE-EA-EK9"", DESCR: ""IR829M-2LTE-EA-EK9 chassis""PID: IR829M-2LTE-EA-EK9, VID: V01 , SN: FGL2146906UNAME: ""IR800-IL-POE"", DESCR: ""POE module""PID: IR800-IL-POE      , VID: V01 , SN: FOC21452WCYNAME: ""Modem in slot 0 on Cellular1/0"", DESCR: ""Sierra Wireless MC7455 4G-EA""PID: MC7455            , VID: 1.0, SN: 352009080067106NAME: ""Modem in slot 1 on Cellular0/0"", DESCR: ""Sierra Wireless MC7455 4G-EA""PID: MC7455            , VID: 1.0, SN: 352009080066967Defect is blocker for all SNMP related tests, manufacturing tests as well.Thanks & RegardsShruthi",Missing,Missing,Missing,Missing,nobug,"Invalid mSATA PID: IR-SSD-MSATA-100G on mSATA device bootup, mSATA missing in 'sh inv'pi32m2, msata, pi32m2-mfHello,Seems new defect introduction. WHen we reboot working mSATA, it throws following :*Mar  7 18:18:01.017: Invalid mSATA PID: IR-SSD-MSATA-100GAlso, no longer do i notice mSATA PID in 'sh inv'.Device access: telnet 172.27.168.164 4004 [cisco/cisco/cisco or iox/iox/cisco]Thanks & RegardsShruthiOnce VDS is up, mSATA very much seen from VDS, only sh inv broken:IR800#sh inv        NAME: ""IR829M-2LTE-EA-EK9"", DESCR: ""IR829M-2LTE-EA-EK9 chassis""PID: IR829M-2LTE-EA-EK9, VID: V01 , SN: FGL2146906UNAME: ""IR800-IL-POE"", DESCR: ""POE module""PID: IR800-IL-POE      , VID: V01 , SN: FOC21452WCYNAME: ""Modem in slot 0 on Cellular1/0"", DESCR: ""Sierra Wireless MC7455 4G-EA""PID: MC7455            , VID: 1.0, SN: 352009080067106NAME: ""Modem in slot 1 on Cellular0/0"", DESCR: ""Sierra Wireless MC7455 4G-EA""PID: MC7455            , VID: 1.0, SN: 352009080066967IR800#IR800#IR800#IR800#IR800#sh plat msataSSD Lifetime:  Lifetime Remaining: 99%Memory:  Size: 99G  Used: 197M  Available: 99G  Usage: 1%IR800#IR800#IR800#sh inv       NAME: ""IR829M-2LTE-EA-EK9"", DESCR: ""IR829M-2LTE-EA-EK9 chassis""PID: IR829M-2LTE-EA-EK9, VID: V01 , SN: FGL2146906UNAME: ""IR800-IL-POE"", DESCR: ""POE module""PID: IR800-IL-POE      , VID: V01 , SN: FOC21452WCYNAME: ""Modem in slot 0 on Cellular1/0"", DESCR: ""Sierra Wireless MC7455 4G-EA""PID: MC7455            , VID: 1.0, SN: 352009080067106NAME: ""Modem in slot 1 on Cellular0/0"", DESCR: ""Sierra Wireless MC7455 4G-EA""PID: MC7455            , VID: 1.0, SN: 352009080066967Defect is blocker for all SNMP related tests, manufacturing tests as well.Thanks & RegardsShruthiMissingMissingMissingMissingnobug",invalid msata pid ir ssd msata msata device bootup msata sh inv pi msata pi mfhello seem new defect introduction reboot work msata throw follow mar invalid msata pid ir ssd msata galso longer notice msata pid sh inv device access telnet cisco cisco cisco iox iox cisco thank vds msata much see vds sh inv break ir sh inv name ir lte ea ek descr ir lte ea ek chassis pid ir lte ea ek vid sn fgl uname ir il poe descr poe module pid ir il poe vid sn foc wcyname modem slot cellular descr sierra wireless mc ea pid mc vid sn name modem slot cellular descr sierra wireless mc ea pid mc vid sn ir ir ir ir ir sh plat msatassd lifetime lifetime remain memory size use available usage ir ir ir sh inv name ir lte ea ek descr ir lte ea ek chassis pid ir lte ea ek vid sn fgl uname ir il poe descr poe module pid ir il poe vid sn foc wcyname modem slot cellular descr sierra wireless mc ea pid mc vid sn name modem slot cellular descr sierra wireless mc ea pid mc vid sn defect blocker snmp relate test manufacture test well thank
CSCvi46929,CSCvi46929,Policy deployment failed in ISA3000 platform in Elektra mode intermittently observed,Hyperlite-FTD 9101_rel ftd,"Steps to reproduce: -•Baselined ISA3k  with Cisco Adaptive Security Appliance Software Version 201.2(1)39 Sfr- 6.3.0-10296•Register to FMC•Initial deployment failed try to deploy the policy again still it is failing Actual: - Policy deployment is failing and devices is grayed out in FMC        Expected behavior: - Deployment should be successfulNote: - after unregistered the device ,tried deployment then it was successful Action queue logs shows  - RPC failed (receiveHeartbeat for 9d3c5cc4-231b-11e8-a7b3-c62027f0c42b): RPC Request failed atJan 15 01:06:09 firepower ActionQueueScrape.pl[2229]: END TASK || 367747f4-7d81-11e3-84e6-ed3ad2367608 || Synchronize with UM || Sending Update || 3Jan 15 01:07:07 firepower ActionQueueScrape.pl[2271]: START TASK || 5a959032-7d81-11e3-84e6-ed3ad2367608Setup:-ModelCisco Firepower Management Center for VMWareSerial NumberNoneSoftware Version6.3.0 (build 10296)OSCisco Fire Linux OS 6.3.0 (build10099)Snort Version2.9.13 GRE (Build 9159)Rule Update Version2017-09-13-001-vrtRulepack Version1965Module Pack Version2242Geolocation Update VersionNoneVDB Versionbuild 290 ( 2017-09-20 18:50:28 )",Missing,Missing,Missing,Missing,nobug,"Policy deployment failed in ISA3000 platform in Elektra mode intermittently observedHyperlite-FTD 9101_rel ftdSteps to reproduce: -•Baselined ISA3k  with Cisco Adaptive Security Appliance Software Version 201.2(1)39 Sfr- 6.3.0-10296•Register to FMC•Initial deployment failed try to deploy the policy again still it is failing Actual: - Policy deployment is failing and devices is grayed out in FMC        Expected behavior: - Deployment should be successfulNote: - after unregistered the device ,tried deployment then it was successful Action queue logs shows  - RPC failed (receiveHeartbeat for 9d3c5cc4-231b-11e8-a7b3-c62027f0c42b): RPC Request failed atJan 15 01:06:09 firepower ActionQueueScrape.pl[2229]: END TASK || 367747f4-7d81-11e3-84e6-ed3ad2367608 || Synchronize with UM || Sending Update || 3Jan 15 01:07:07 firepower ActionQueueScrape.pl[2271]: START TASK || 5a959032-7d81-11e3-84e6-ed3ad2367608Setup:-ModelCisco Firepower Management Center for VMWareSerial NumberNoneSoftware Version6.3.0 (build 10296)OSCisco Fire Linux OS 6.3.0 (build10099)Snort Version2.9.13 GRE (Build 9159)Rule Update Version2017-09-13-001-vrtRulepack Version1965Module Pack Version2242Geolocation Update VersionNoneVDB Versionbuild 290 ( 2017-09-20 18:50:28 )MissingMissingMissingMissingnobug",policy deployment fail isa platform elektra mode intermittently ftd ftdsteps reproduce baselined isa cisco adaptive security appliance software version sfr register fmc initial deployment fail try deploy policy still fail actual policy deployment fail devices gray fmc expect behavior deployment successfulnote unregistered device try deployment successful action queue log show rpc fail cc rpc request fail atjan firepower pl end task ed ad synchronize um send update jan firepower pl start task ed ad setup modelcisco firepower management center vmwareserial version build oscisco fire linux os build snort version gre build rule update version vrtrulepack version module pack version geolocation update versionnonevdb versionbuild
CSCvi71074,CSCvi71074,Continuous TCP SYN storm attack causes Sparrow to crash,CSDL_testing sparrow-SS psirt sparrow PSIRT-0580045465,"Continuous TCP SYN storm attack causes Sparrow to crash.Topology:   Achilles ----> F0/0/1  SparrowConsole prior to crash:Sparrow#*Mar 28 11:14:52.816 PDT: %SYS-4-FREEMEMCRITICAL: Free Memory has dropped below critical threshold.Pool: Processor  Free: 44991440  Critical Threshold: 44994048 validblock_diagnose, code = 12 current memory block, bp = 0x7F344BBEC8,memorypool type is Processordata check, ptr = 0x7F344BBF20 next memory block, bp = 0x7F344BC9E0,memorypool type is Processordata check, ptr = 0x7F344BCA38 previous memory block, bp = 0x7F344BBD68,memorypool type is Processordata check, ptr = 0x7F344BBDC0========= Dump bp = 0x7F344BBEC8 ====================== 7F344BBDC8:        0        0        0        0        0        0        0        07F344BBDE8:        0        0        0        0        0        0        0        07F344BBE08:        0        0        0        0  1010000       3C   5C0000 20010000<deleted>Exception to IOS Thread:Frame pointer 0x7F5326D660, PC = 0x7F85FA3690 UNIX-EXT-SIGNAL: Aborted(6), Process = Pool Manager-Traceback= 1#49aa6feda42e0f06788e5edab6cea852  :400000+3573924 :400000+3573368 iosd_sparrow_unix:7F8613F000+5BF50 linux-vdso:7F919E5000+510 c:7F85F72000+31690 c:7F85F72000+32B60 :400000+355CF34 :400000+2AD9A48 :400000+6898AE0 :400000+B92D5C :400000+2ADE074 :400000+2AD5C48 :400000+2AD60F8 :400000+6898B18 :400000+441BCA0 :400000+2AE9D38 Fastpath Thread backtrace:-Traceback= 1#49aa6feda42e0f06788e5edab6cea852  iosd_sparrow_unix:7F8613F000+5C028 linux-vdso:7F919E5000+510 :400000+68A47EC :400000+441341C :400000+4415478 :400000+388C9EC :400000+38906B0 iosd_sparrow_unix:7F8613F000+4C264 iosd_sparrow_unix:7F8613F000+3C6BC prelib:7F9194C000+31B4 pthread:7F85D3F000+6F78 c:7F85F72000+C6BB0",Missing,Missing,Missing,Missing,nobug,"Continuous TCP SYN storm attack causes Sparrow to crashCSDL_testing sparrow-SS psirt sparrow PSIRT-0580045465Continuous TCP SYN storm attack causes Sparrow to crash.Topology:   Achilles ----> F0/0/1  SparrowConsole prior to crash:Sparrow#*Mar 28 11:14:52.816 PDT: %SYS-4-FREEMEMCRITICAL: Free Memory has dropped below critical threshold.Pool: Processor  Free: 44991440  Critical Threshold: 44994048 validblock_diagnose, code = 12 current memory block, bp = 0x7F344BBEC8,memorypool type is Processordata check, ptr = 0x7F344BBF20 next memory block, bp = 0x7F344BC9E0,memorypool type is Processordata check, ptr = 0x7F344BCA38 previous memory block, bp = 0x7F344BBD68,memorypool type is Processordata check, ptr = 0x7F344BBDC0========= Dump bp = 0x7F344BBEC8 ====================== 7F344BBDC8:        0        0        0        0        0        0        0        07F344BBDE8:        0        0        0        0        0        0        0        07F344BBE08:        0        0        0        0  1010000       3C   5C0000 20010000<deleted>Exception to IOS Thread:Frame pointer 0x7F5326D660, PC = 0x7F85FA3690 UNIX-EXT-SIGNAL: Aborted(6), Process = Pool Manager-Traceback= 1#49aa6feda42e0f06788e5edab6cea852  :400000+3573924 :400000+3573368 iosd_sparrow_unix:7F8613F000+5BF50 linux-vdso:7F919E5000+510 c:7F85F72000+31690 c:7F85F72000+32B60 :400000+355CF34 :400000+2AD9A48 :400000+6898AE0 :400000+B92D5C :400000+2ADE074 :400000+2AD5C48 :400000+2AD60F8 :400000+6898B18 :400000+441BCA0 :400000+2AE9D38 Fastpath Thread backtrace:-Traceback= 1#49aa6feda42e0f06788e5edab6cea852  iosd_sparrow_unix:7F8613F000+5C028 linux-vdso:7F919E5000+510 :400000+68A47EC :400000+441341C :400000+4415478 :400000+388C9EC :400000+38906B0 iosd_sparrow_unix:7F8613F000+4C264 iosd_sparrow_unix:7F8613F000+3C6BC prelib:7F9194C000+31B4 pthread:7F85D3F000+6F78 c:7F85F72000+C6BB0MissingMissingMissingMissingnobug",continuous tcp syn storm attack cause sparrow sparrow ss psirt sparrow psirt continuous tcp syn storm attack cause sparrow crash topology achilles sparrowconsole prior crash sparrow mar pdt sys freememcritical free memory drop critical threshold pool processor free critical threshold code current memory block bp bbec memorypool type processordata check ptr bbf next memory block bp bc memorypool type processordata check ptr bca previous memory block bp bbd memorypool type processordata check ptr bbdc dump bp bbec bbdc bbde bbe exception ios thread frame pointer pc fa unix ext signal abort process pool manager traceback aa feda edab cea bf linux vdso phone
CSCvi74624,CSCvi74624,Placeholder for DLR support,Missing,"Existing code needs to be modified for platform support, and committed.",Missing,Missing,Missing,Missing,nobug,"Placeholder for DLR supportMissingExisting code needs to be modified for platform support, and committed.MissingMissingMissingMissingnobug",placeholder dlr code need modify platform support commit
CSCvi98495,CSCvi98495,After upgrade ISA3k status shows as  Greyed out  in FMC and UMS task stuck in remote install,Hyperlite-FTD 992_rel,"After upgrade ISA3k status shows as  Greyed out in FMC and  UMS task shows still shows  remote install Steps to reproduce:-1.FMC- Install  Build 6.2.3 ?Build 832.Upgraded to 6.2.3.1 (build 37)3. Install  6.2.3-build on sensors ?ISA3k4.register the device to FMC5.upgrade by using FMC with -   Cisco_FTD_Patch-6.2.3.1-37.sh.REL.tarObservation:- ISA3k upgrade successful and rebooted with new  upgraded image Cisco Fire Linux OS v6.2.3 (build 13)Cisco ISA-3000-2C2F-X Threat Defense v6.2.3.1 (build 37)However in FMC it shows as Greyed outUMS task shows still shows  remote installin sensor upgrade shows successful.,UT: Upgrade lock /ngfw/tmp/upgrade.lock removed successfully.OUT: [140103 12:00:08:825] OUT: [140103 12:00:08:827] #######################################################OUT: [140103 12:00:08:830] # UPGRADE  COMPLETE  #OUT: [140103 12:00:08:833] #######################################################RC: 0Update package reports success: almost finished...Scheduling a reboot to occur in 60 seconds...Note :- 5506 kenton it works fine",Missing,Missing,Missing,Missing,CSCvj01442,"After upgrade ISA3k status shows as  Greyed out  in FMC and UMS task stuck in remote installHyperlite-FTD 992_relAfter upgrade ISA3k status shows as  Greyed out in FMC and  UMS task shows still shows  remote install Steps to reproduce:-1.FMC- Install  Build 6.2.3 ?Build 832.Upgraded to 6.2.3.1 (build 37)3. Install  6.2.3-build on sensors ?ISA3k4.register the device to FMC5.upgrade by using FMC with -   Cisco_FTD_Patch-6.2.3.1-37.sh.REL.tarObservation:- ISA3k upgrade successful and rebooted with new  upgraded image Cisco Fire Linux OS v6.2.3 (build 13)Cisco ISA-3000-2C2F-X Threat Defense v6.2.3.1 (build 37)However in FMC it shows as Greyed outUMS task shows still shows  remote installin sensor upgrade shows successful.,UT: Upgrade lock /ngfw/tmp/upgrade.lock removed successfully.OUT: [140103 12:00:08:825] OUT: [140103 12:00:08:827] #######################################################OUT: [140103 12:00:08:830] # UPGRADE  COMPLETE  #OUT: [140103 12:00:08:833] #######################################################RC: 0Update package reports success: almost finished...Scheduling a reboot to occur in 60 seconds...Note :- 5506 kenton it works fineMissingMissingMissingMissingCSCvj01442",upgrade isa status show grey fmc ums task stick remote ftd upgrade isa status show grey fmc ums task show still show remote install step reproduce fmc install build build upgrade build install build sensors isa register device fmc upgrade use fmc cisco_ftd_patch sh rel tarobservation isa upgrade successful reboot new upgrade image cisco fire linux os build cisco isa threat defense build however fmc show grey outums task show still show remote installin sensor upgrade show successful ut upgrade lock ngfw tmp upgrade lock remove successfully upgrade complete rc update package report success almost finish schedule reboot occur second note kenton work
CSCvj09697,CSCvj09697,Python Multiple Thread Vulnerabilities,ciam api-gen CIAM-eS19CjrE5ZrGS CVE-2018-1000030,Python Multiple Thread VulnerabilitiesCVE-2018-1000030Alert URL: https://tvce.cisco.com/security/AIMS/AimsAlertPreview.aspx?AlertID=57165,Missing,Missing,Missing,Missing,nobug,Python Multiple Thread Vulnerabilitiesciam api-gen CIAM-eS19CjrE5ZrGS CVE-2018-1000030Python Multiple Thread VulnerabilitiesCVE-2018-1000030Alert URL: https://tvce.cisco.com/security/AIMS/AimsAlertPreview.aspx?AlertID=57165MissingMissingMissingMissingnobug,python multiple thread api gen ciam es cjre zrgs cve python multiple thread alert url url
CSCvj23612,CSCvj23612,Placeholder for Petra CIP Development - POE Object,petra-cip xe1610-feat,"Existing code needs to be modified for platform support, and committed.",Missing,Missing,Missing,Missing,nobug,"Placeholder for Petra CIP Development - POE Objectpetra-cip xe1610-featExisting code needs to be modified for platform support, and committed.MissingMissingMissingMissingnobug",placeholder petra cip development poe objectpetra cip xe featexisting code need modify platform support commit
CSCvj26785,CSCvj26785,Add support for GRWIC-4G-LTE-EA and -LA,Missing,Support support for GRWIC-4g-LTE-EA and GRWIC-4G-LTE-LA,Missing,Missing,Missing,Missing,nobug,Add support for GRWIC-4G-LTE-EA and -LAMissingSupport support for GRWIC-4g-LTE-EA and GRWIC-4G-LTE-LAMissingMissingMissingMissingnobug,add support grwic lte ea support grwic lte ea grwic lte
CSCvj51202,CSCvj51202,Petra: sdflash and certificate errors on reloading petra with RA build,s5800 petra petra-OIB xe1610-feat,When reloading petra both fixed and expandable P1 SKU. following errors are seen.1) %Error opening sdflash:`?JE (No such file or directory)cisco IE-3200-8T2S (ARM) processor (revision PETRA) with 911110K/6147K bytes of memory.2)  certificate ca 01 nvram:CiscoRXC-R2#1CA.cer   ^% Invalid input detected at '^' marker.Sometimes observation on Petra device is as follows:%Error opening sdflash:`? (No such file or directory)cisco IE-3300-8T2S (ARM) processor (revision PETRA) with 911110K/6147K bytes of memory.Processor board ID FOC2203V123%Error opening sdflash:` (No such file or directory)cisco IE-3200-8T2S (ARM) processor (revision PETRA) with 911110K/6147K bytes of memory.,Missing,Missing,Missing,Missing,nobug,Petra: sdflash and certificate errors on reloading petra with RA builds5800 petra petra-OIB xe1610-featWhen reloading petra both fixed and expandable P1 SKU. following errors are seen.1) %Error opening sdflash:`?JE (No such file or directory)cisco IE-3200-8T2S (ARM) processor (revision PETRA) with 911110K/6147K bytes of memory.2)  certificate ca 01 nvram:CiscoRXC-R2#1CA.cer   ^% Invalid input detected at '^' marker.Sometimes observation on Petra device is as follows:%Error opening sdflash:`? (No such file or directory)cisco IE-3300-8T2S (ARM) processor (revision PETRA) with 911110K/6147K bytes of memory.Processor board ID FOC2203V123%Error opening sdflash:` (No such file or directory)cisco IE-3200-8T2S (ARM) processor (revision PETRA) with 911110K/6147K bytes of memory.MissingMissingMissingMissingnobug,petra sdflash certificate errors reload petra ra build petra petra oib xe featwhen reload petra fix expandable sku follow errors see error open sdflash je file directory cisco ie arm processor revision petra bytes memory certificate ca nvram ciscorxc ca cer invalid input detect marker sometimes observation petra device follow error open sdflash file directory cisco ie arm processor revision petra bytes memory processor board id foc error open sdflash file directory cisco ie arm processor revision petra bytes memory
CSCvj71696,CSCvj71696,sparrow:serial:show line 0/2/0 shows 0 databits,sparrow-datapath,"show lines show 0 databits, tried to configure it to 8 but it still shows 0 and show run shows that it was setspw_sanity_3#show line 50   Tty Line Typ     Tx/Rx    A Modem  Roty AccO AccI  Uses  Noise Overruns  Int  0/2/0   50 TTY   9600/9600  -    -      -    -    -     0      0    0/0      -Line 0/2/0, Location: """", Type: """"Length: 24 lines, Width: 80 columnsBaud rate (TX/RX) is 9600/9600, no parity, 2 stopbits, 0 databitsStatus: ReadyCapabilities: EXEC SuppressedModem state: ReadySpecial Chars: Escape  Hold  Stop  Start  Disconnect  Activation                ^^x    none   -     -       none         Timeouts:      Idle EXEC    Idle Session   Modem Answer  Session   Dispatch               00:10:00        never                        none     not set                            Idle Session Disconnect Warning                              never                             Login-sequence User Response                             00:00:30                            Autoselect Initial Wait                              not set Modem type is unknown.Session limit is not set.Time since activation: neverEditing is enabled.History is enabled, history size is 10.DNS resolution in show commands is enabledFull user help is disabledAllowed input transports are none.Allowed output transports are pad telnet rlogin ssh.Preferred transport is telnet.Shell: enabledShell trace: offNo output characters are paddedNo special data dispatching characterstopo: sparrowimage: ir1101-universalk9.BLD_POLARIS_DEV_LATEST_20180528_020745.SSA.bin""logs: see attachmentprocedure:1. show line 502. config t, line 0/2/0, databit 7, end3. show line 504. show run | sec line 0/2/0",Missing,Missing,Missing,Missing,nobug,"sparrow:serial:show line 0/2/0 shows 0 databitssparrow-datapathshow lines show 0 databits, tried to configure it to 8 but it still shows 0 and show run shows that it was setspw_sanity_3#show line 50   Tty Line Typ     Tx/Rx    A Modem  Roty AccO AccI  Uses  Noise Overruns  Int  0/2/0   50 TTY   9600/9600  -    -      -    -    -     0      0    0/0      -Line 0/2/0, Location: """", Type: """"Length: 24 lines, Width: 80 columnsBaud rate (TX/RX) is 9600/9600, no parity, 2 stopbits, 0 databitsStatus: ReadyCapabilities: EXEC SuppressedModem state: ReadySpecial Chars: Escape  Hold  Stop  Start  Disconnect  Activation                ^^x    none   -     -       none         Timeouts:      Idle EXEC    Idle Session   Modem Answer  Session   Dispatch               00:10:00        never                        none     not set                            Idle Session Disconnect Warning                              never                             Login-sequence User Response                             00:00:30                            Autoselect Initial Wait                              not set Modem type is unknown.Session limit is not set.Time since activation: neverEditing is enabled.History is enabled, history size is 10.DNS resolution in show commands is enabledFull user help is disabledAllowed input transports are none.Allowed output transports are pad telnet rlogin ssh.Preferred transport is telnet.Shell: enabledShell trace: offNo output characters are paddedNo special data dispatching characterstopo: sparrowimage: ir1101-universalk9.BLD_POLARIS_DEV_LATEST_20180528_020745.SSA.bin""logs: see attachmentprocedure:1. show line 502. config t, line 0/2/0, databit 7, end3. show line 504. show run | sec line 0/2/0MissingMissingMissingMissingnobug",sparrow serial show line show databitssparrow datapathshow line show databits try configure still show show run show setspw_sanity_ show line tty line typ tx rx modem roty acco acci use noise overrun int tty line location type length line width columnsbaud rate tx rx parity stopbits databitsstatus exec suppressedmodem state readyspecial char escape hold stop start disconnect activation none none timeouts idle exec idle session modem answer session dispatch never none set idle session disconnect warn never login sequence user response autoselect initial wait set modem type unknown session limit set time since activation neverediting enable history enable history size dns resolution show command enabledfull user help disabledallowed input transport none allow output transport pad telnet rlogin ssh prefer transport telnet shell enabledshell trace offno output character paddedno special data dispatch characterstopo sparrowimage ir universalk ssa bin log see show line config line databit end show line show run sec line
